SalesOrderID,SalesOrderNumber,PurchaseOrderNumber,OrderDate,DueDate,UnitPrice,OrderQty,LineTotal,OrderTotal,DeliveryPriorityRank
43667,SO43667,PO15428132599,31/05/2011,12/06/2011,5.7,3,17.1,6107.082,1
43666,SO43666,PO16008173883,31/05/2011,12/06/2011,419.4589,1,419.4589,5056.4896,1
43661,SO43661,PO18473189620,31/05/2011,12/06/2011,809.76,1,809.76,32726.4786,1
43659,SO43659,PO522145787,31/05/2011,12/06/2011,2024.994,1,2024.994,20565.6206,1
43671,SO43671,PO13978119376,31/05/2011,12/06/2011,2146.962,1,2146.962,8128.7876,1
43662,SO43662,PO18444174044,31/05/2011,12/06/2011,419.4589,3,1258.3767,28832.5289,1
43665,SO43665,PO16588191572,31/05/2011,12/06/2011,20.1865,2,40.373,14352.7713,1
43663,SO43663,PO18009186470,31/05/2011,12/06/2011,419.4589,1,419.4589,419.4589,1
43667,SO43667,PO15428132599,31/05/2011,12/06/2011,2039.994,1,2039.994,6107.082,1
43666,SO43666,PO16008173883,31/05/2011,12/06/2011,2146.962,1,2146.962,5056.4896,1
43661,SO43661,PO18473189620,31/05/2011,12/06/2011,714.7043,1,714.7043,32726.4786,1
43659,SO43659,PO522145787,31/05/2011,12/06/2011,2024.994,3,6074.982,20565.6206,1
43671,SO43671,PO13978119376,31/05/2011,12/06/2011,28.8404,2,57.6808,8128.7876,1
43662,SO43662,PO18444174044,31/05/2011,12/06/2011,419.4589,5,2097.2945,28832.5289,1
43665,SO43665,PO16588191572,31/05/2011,12/06/2011,2039.994,1,2039.994,14352.7713,1
43670,SO43670,PO14384116310,31/05/2011,12/06/2011,5.7,1,5.7,6122.082,1
43667,SO43667,PO15428132599,31/05/2011,12/06/2011,2024.994,1,2024.994,6107.082,1
43666,SO43666,PO16008173883,31/05/2011,12/06/2011,356.898,1,356.898,5056.4896,1
43661,SO43661,PO18473189620,31/05/2011,12/06/2011,714.7043,2,1429.4086,32726.4786,1
43659,SO43659,PO522145787,31/05/2011,12/06/2011,2024.994,1,2024.994,20565.6206,1
43671,SO43671,PO13978119376,31/05/2011,12/06/2011,874.794,1,874.794,8128.7876,1
43662,SO43662,PO18444174044,31/05/2011,12/06/2011,183.9382,2,367.8764,28832.5289,1
